date,Company Name,Symbol,author,Sector,expected_return,actual_return,year
2023-11-15,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,14.79957906821009,-0.0089387599847849,2023
2024-05-22,aarti industries limited,AARTIIND,Geojit BNP Paribas,Healthcare,11.234528721040933,-0.0055423594615993,2024
2021-02-11,aarti industries limited,AARTIIND,HDFC Securities,Healthcare,19.086999669202772,0.0142416291235539,2021
2022-05-31,aarti industries limited,AARTIIND,ICICI Direct,Healthcare,14.697252600693526,-0.0743758212877792,2022
2022-08-12,aarti industries limited,AARTIIND,ICICI Direct,Healthcare,8.144436976843645,-0.0441676792223572,2022
2023-05-11,aarti industries limited,AARTIIND,ICICI Direct,Healthcare,1.238450953410657,-0.0315552950371239,2023
2020-10-09,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,20.090067550663,-0.0062089552238806,2020
2020-11-12,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,13.95091345266655,0.05751033532384,2020
2021-01-31,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,15.591977571705844,0.0141264573227811,2021
2021-05-20,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,12.834978843441473,-0.032677528076784,2021
2021-05-20,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,12.834978843441473,-0.032677528076784,2021
2021-08-11,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,17.998912452419795,0.0370530877573131,2021
2021-08-23,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,17.806731813246472,0.0226301369863013,2021
2021-11-02,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,16.885827593404294,-0.0033264033264033,2021
2022-02-08,aarti industries limited,AARTIIND,ICICI Securities Limited,Healthcare,19.983661799244366,0.0005583756345177,2022
2018-01-22,aarti industries limited,AARTIIND,IDBI Capital,Healthcare,4.249844734273808,-0.088070047427946,2018
2017-05-29,aarti industries limited,AARTIIND,IIFL Holdings,Healthcare,3.657850309510411,0.0685547647291419,2017
2018-05-17,aarti industries limited,AARTIIND,KRChoksey,Healthcare,17.13114754098361,-0.0018075011296882,2018
2018-08-07,aarti industries limited,AARTIIND,KRChoksey,Healthcare,3.607969843834141,0.0144389821599728,2018
2020-08-18,aarti industries limited,AARTIIND,KRChoksey,Healthcare,5.841680702065428,0.1132163742690059,2020
2020-11-13,aarti industries limited,AARTIIND,KRChoksey,Healthcare,15.409062017615549,0.0169369369369368,2020
2022-08-12,aarti industries limited,AARTIIND,KRChoksey,Healthcare,33.68363169792875,-0.0441676792223572,2022
2022-11-17,aarti industries limited,AARTIIND,KRChoksey,Healthcare,24.2795921383183,-0.0025034137460172,2022
2016-05-10,aarti industries limited,AARTIIND,Motilal Oswal,Healthcare,22.687439143135347,0.0209053497942387,2016
2016-07-01,aarti industries limited,AARTIIND,Motilal Oswal,Healthcare,20.0,0.0151715552789231,2016
2016-05-09,aarti industries limited,AARTIIND,Phillip Capital,Healthcare,33.97129186602871,-0.0221838990358234,2016
2016-09-27,aarti industries limited,AARTIIND,Phillip Capital,Healthcare,20.924912166026623,0.1031149301825992,2016
