### iter_0_a_0.0_b_0.0 ###
                  Sector                              author  mean_performance  count      month
326        Manufacturing                           Edelweiss          0.097312      1 2017-04-01
327        Manufacturing                               Karvy         -0.029907      2 2017-04-01
328           Technology                           Edelweiss         -0.029319      1 2017-04-01
329           Technology                     HDFC Securities          0.011891      2 2017-04-01
330       Consumer Goods                         Axis Direct          0.018452      3 2017-05-01
331       Consumer Goods                 Chola Wealth Direct          0.006068      2 2017-05-01
332       Consumer Goods                               Karvy         -0.075437      1 2017-05-01
333               Energy                         Axis Direct         -0.009484      6 2017-05-01
334               Energy                     HDFC Securities         -0.014888      5 2017-05-01
335              Finance                       Angel Broking          0.005053      2 2017-05-01
336              Finance                  Geojit BNP Paribas         -0.003129      4 2017-05-01
337              Finance                        IDBI Capital          0.017300      6 2017-05-01
338           Healthcare                       Angel Broking         -0.006731      2 2017-05-01
339           Healthcare                           BP Wealth          0.002518      4 2017-05-01
340           Healthcare                     HDFC Securities          0.029447     19 2017-05-01
341           Healthcare            ICICI Securities Limited          0.010093     16 2017-05-01
342        Manufacturing            BOB Capital Markets Ltd.          0.007748      2 2017-05-01
343        Manufacturing                 Chola Wealth Direct          0.000833      5 2017-05-01
344        Manufacturing                           Edelweiss          0.015603      7 2017-05-01
345        Manufacturing                        IDBI Capital         -0.000403      7 2017-05-01
346        Manufacturing                               Karvy          0.028001      4 2017-05-01
347        Manufacturing                 Reliance Securities          0.008873      7 2017-05-01
348          Real Estate                 Chola Wealth Direct          0.020552      1 2017-05-01
349           Technology                         Axis Direct          0.010143     12 2017-05-01
350           Technology                           Edelweiss         -0.015345      3 2017-05-01
351   Telecommunications                 Reliance Securities         -0.012527      1 2017-05-01
352              Unknown                         Axis Direct         -0.049380      4 2017-05-01
353              Unknown                           Edelweiss          0.069215      1 2017-05-01
354              Unknown                     HDFC Securities          0.027865      3 2017-05-01
355              Unknown            ICICI Securities Limited          0.001368      4 2017-05-01
356              Unknown                               Karvy          0.048822      1 2017-05-01
357              Unknown                            Religare          0.058682      2 2017-05-01
358            Utilities                         Axis Direct         -0.009000      1 2017-05-01
359       Consumer Goods                         Axis Direct          0.006846      2 2017-06-01
360              Finance                       CD Equisearch          0.027481      1 2017-06-01
361              Finance                               Emkay          0.394495      1 2017-06-01
362              Finance                        IDBI Capital          0.045617      1 2017-06-01
363              Finance                            Religare          0.095494      1 2017-06-01
364           Healthcare                       Angel Broking          0.009894      5 2017-06-01
365           Healthcare                     HDFC Securities          0.030782      1 2017-06-01
366           Healthcare            ICICI Securities Limited          0.019131      6 2017-06-01
367           Healthcare                 Reliance Securities         -0.020581      2 2017-06-01
368           Healthcare                            Religare         -0.007330      1 2017-06-01
369        Manufacturing                         Axis Direct          0.013358     10 2017-06-01
370        Manufacturing            BOB Capital Markets Ltd.          0.044036      1 2017-06-01
371        Manufacturing                           Edelweiss          0.035377      2 2017-06-01
372        Manufacturing                     HDFC Securities          0.010698      1 2017-06-01
373        Manufacturing                               Karvy         -0.005263      8 2017-06-01
374        Manufacturing                 Reliance Securities         -0.017109      4 2017-06-01
375        Manufacturing                             Ventura          0.032730      1 2017-06-01
376           Technology                     Arihant Capital         -0.007706      1 2017-06-01
377           Technology                     HDFC Securities          0.019637      2 2017-06-01
378           Technology                            Religare         -0.014820      1 2017-06-01
379              Unknown                         Axis Direct          0.002057      2 2017-06-01
380              Unknown                       CD Equisearch          0.086201      1 2017-06-01
381              Unknown                               Karvy          0.060583      2 2017-06-01
382       Consumer Goods                         Axis Direct          0.000173      1 2017-07-01
383       Consumer Goods                 Reliance Securities         -0.001855      3 2017-07-01
384              Finance                               Emkay          0.005231      1 2017-07-01
385              Finance                        IDBI Capital          0.006287      6 2017-07-01
386              Finance                      LKP Securities          0.013870      1 2017-07-01
387           Healthcare                     HDFC Securities         -0.005176      4 2017-07-01
388           Healthcare            ICICI Securities Limited         -0.003988      5 2017-07-01
389        Manufacturing                 Chola Wealth Direct         -0.009758      1 2017-07-01
390        Manufacturing                           Edelweiss         -0.016136      1 2017-07-01
391        Manufacturing                     HDFC Securities          0.012781      6 2017-07-01
392        Manufacturing                 Reliance Securities          0.000015      6 2017-07-01
393           Technology                         Axis Direct          0.003973     10 2017-07-01
394           Technology                           Edelweiss          0.012673      1 2017-07-01
395           Technology                     HDFC Securities          0.045904      3 2017-07-01
396   Telecommunications                         Axis Direct          0.002315      2 2017-07-01
397            Utilities                         Axis Direct          0.075565      1 2017-07-01
398          Agriculture            ICICI Securities Limited         -0.063453      1 2017-08-01
399       Consumer Goods                         Axis Direct          0.005560      3 2017-08-01
400       Consumer Goods                 Reliance Securities          0.008502      2 2017-08-01
401               Energy                  Geojit BNP Paribas         -0.037411      1 2017-08-01
402              Finance                 Chola Wealth Direct          0.001398      4 2017-08-01
403              Finance                        IDBI Capital         -0.019318      5 2017-08-01
404              Finance                            Religare         -0.019058      1 2017-08-01
405           Healthcare                       Angel Broking         -0.007377      7 2017-08-01
406           Healthcare                     HDFC Securities          0.011009     10 2017-08-01
407           Healthcare            ICICI Securities Limited          0.011000     15 2017-08-01
408           Healthcare                 Reliance Securities          0.027811      4 2017-08-01
409        Manufacturing                 Chola Wealth Direct         -0.026087      4 2017-08-01
410        Manufacturing                           Edelweiss          0.042015      8 2017-08-01
411        Manufacturing                     HDFC Securities          0.004727     18 2017-08-01
412        Manufacturing                               Karvy         -0.018441     11 2017-08-01
413        Manufacturing                 Reliance Securities          0.003046      9 2017-08-01
414          Real Estate                     HDFC Securities          0.017761      1 2017-08-01
415           Technology                         Axis Direct         -0.010555     14 2017-08-01
416           Technology                           BP Wealth         -0.048345      1 2017-08-01
417           Technology                           Edelweiss          0.031746      3 2017-08-01
418           Technology                     HDFC Securities          0.012627     11 2017-08-01
419           Technology                            Religare          0.037915      1 2017-08-01
420              Unknown                         Axis Direct          0.019366      4 2017-08-01
421              Unknown                               Emkay          0.033489      1 2017-08-01
422       Consumer Goods                     Ashika Research         -0.006009      1 2017-09-01
423              Finance                         Axis Direct          0.009371      1 2017-09-01
424              Finance                       Motilal Oswal          0.036029      1 2017-09-01
425           Healthcare                       CD Equisearch         -0.018972      2 2017-09-01
426        Manufacturing                         Axis Direct          0.016479      8 2017-09-01
427        Manufacturing                           Edelweiss          0.048352      1 2017-09-01
428        Manufacturing                     HDFC Securities         -0.022867      5 2017-09-01
429           Technology                         Axis Direct         -0.002298      1 2017-09-01
430           Technology                           Edelweiss         -0.004087      2 2017-09-01
431           Technology                     HDFC Securities          0.064209      2 2017-09-01
432       Consumer Goods                         Axis Direct         -0.010224      3 2017-10-01
433               Energy                  Geojit BNP Paribas          0.015059      1 2017-10-01
434               Energy                        JM Financial          0.058644      2 2017-10-01
435              Finance                         Axis Direct          0.003221     14 2017-10-01
436              Finance                       CD Equisearch         -0.086601      1 2017-10-01
437              Finance                 Chola Wealth Direct          0.003103      3 2017-10-01
438              Finance                     HDFC Securities          0.004508     22 2017-10-01
439              Finance                        IDBI Capital          0.032975      6 2017-10-01
440              Finance                      LKP Securities         -0.005652      2 2017-10-01
441              Finance                       Motilal Oswal         -0.003952     25 2017-10-01
442              Finance                            Religare          0.029426      1 2017-10-01
443           Healthcare                       CD Equisearch         -0.025023      1 2017-10-01
