### iter_0_a_-1.0_b_-1.0 ###
                  Sector                              author  mean_performance  count      month
224           Healthcare                 Chola Wealth Direct          0.022274      2 2015-10-01
225           Healthcare                     HDFC Securities          0.005639      1 2015-10-01
226           Healthcare                               Karvy          0.009947      4 2015-10-01
227           Healthcare                     Phillip Capital         -0.000789      6 2015-10-01
228           Healthcare                 Reliance Securities         -0.013682      6 2015-10-01
229        Manufacturing            BOB Capital Markets Ltd.         -0.007646      2 2015-10-01
230        Manufacturing                 Chola Wealth Direct          0.011125      1 2015-10-01
231        Manufacturing                     HDFC Securities         -0.008343      6 2015-10-01
232        Manufacturing            ICICI Securities Limited         -0.019132      4 2015-10-01
233        Manufacturing                               Karvy         -0.005171      7 2015-10-01
234        Manufacturing                     Phillip Capital         -0.016056      6 2015-10-01
235        Manufacturing                 Reliance Securities         -0.014261      3 2015-10-01
236           Technology                     Ashika Research         -0.010889      1 2015-10-01
237           Technology            BOB Capital Markets Ltd.          0.028308      1 2015-10-01
238           Technology                 Chola Wealth Direct          0.016210      3 2015-10-01
239           Technology                     HDFC Securities          0.043664      3 2015-10-01
240           Technology                               Karvy         -0.007896      6 2015-10-01
241           Technology                     Phillip Capital          0.002360     12 2015-10-01
242           Technology                 Reliance Securities          0.004403      3 2015-10-01
243   Telecommunications                     HDFC Securities          0.018024      1 2015-10-01
244   Telecommunications                     Phillip Capital          0.015834      2 2015-10-01
245              Unknown                 Chola Wealth Direct         -0.020050      1 2015-10-01
246              Unknown                               Karvy         -0.006217      3 2015-10-01
247              Unknown                     Phillip Capital         -0.008908      1 2015-10-01
248          Agriculture                 Chola Wealth Direct          0.027583      1 2015-11-01
249       Consumer Goods            BOB Capital Markets Ltd.          0.015159      1 2015-11-01
250       Consumer Goods                 Chola Wealth Direct         -0.015257      2 2015-11-01
251       Consumer Goods                     HDFC Securities          0.014010      2 2015-11-01
252       Consumer Goods                               Karvy         -0.019704      1 2015-11-01
253       Consumer Goods                     Phillip Capital          0.013202      2 2015-11-01
254               Energy                 Chola Wealth Direct         -0.008324      1 2015-11-01
255               Energy                     HDFC Securities          0.007876      1 2015-11-01
256               Energy                               Karvy          0.001214      2 2015-11-01
257               Energy                     Phillip Capital         -0.002894      2 2015-11-01
258               Energy                 Reliance Securities         -0.005433      1 2015-11-01
259              Finance                     Ashika Research         -0.025096      1 2015-11-01
260              Finance                 Chola Wealth Direct         -0.015190      6 2015-11-01
261              Finance                     HDFC Securities         -0.007655      5 2015-11-01
262              Finance            ICICI Securities Limited         -0.000321      9 2015-11-01
263              Finance                               Karvy          0.004478      8 2015-11-01
264              Finance                     Phillip Capital          0.011214     10 2015-11-01
265              Finance                 Reliance Securities         -0.000530      6 2015-11-01
266           Healthcare                 Chola Wealth Direct          0.007868      2 2015-11-01
267           Healthcare                     HDFC Securities         -0.009328      3 2015-11-01
268           Healthcare                               Karvy         -0.000373      4 2015-11-01
269           Healthcare                     Phillip Capital         -0.004580      9 2015-11-01
270           Healthcare                 Reliance Securities         -0.010954      6 2015-11-01
271        Manufacturing                 Chola Wealth Direct          0.007776      7 2015-11-01
272        Manufacturing                     HDFC Securities          0.000677     10 2015-11-01
273        Manufacturing            ICICI Securities Limited          0.001025     18 2015-11-01
274        Manufacturing                               Karvy         -0.002418     10 2015-11-01
